,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9814,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19196993.0,19196993.0,,1,,,,2022-11-03T08:40:00.000Z,20302.07323416995,55539146567.24347,44.5583,-0.00942349,-0.69967518,-2.04150252,1.81846696,2.98307998,-12.26512635,389738757761.8479,38.6184,426343537917.57,,2022-11-03T08:40:00.000Z,,,,,,2022-11-03 08:42:27.159088
1,1027,Ethereum,ETH,ethereum,6168,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373863.499,122373863.499,,2,,,,2022-11-03T08:40:00.000Z,1543.3470389307608,23787604578.772266,63.1104,-0.19238153,-1.48017844,-0.82540616,14.3865994,-0.50575076,-6.8639435,188865339873.69876,18.7143,188865339873.7,,2022-11-03T08:40:00.000Z,,,,,,2022-11-03 08:42:27.159088
2,825,Tether,USDT,tether,41499,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,69350342913.25587,72141766321.66891,,3,,,,2022-11-03T08:40:00.000Z,0.9999715757112622,78333676095.12735,41.7892,-0.00341633,0.00636501,-0.02181019,-0.01832214,-0.00196916,-0.0159567,69348371679.08484,6.868,72139715743.27,,2022-11-03T08:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-11-03 08:42:27.159088
3,1839,BNB,BNB,bnb,1133,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,159977667.9671376,159979963.59042934,,4,,,,2022-11-03T08:40:00.000Z,336.76136156861855,1647833565.0875926,41.2555,0.12480451,4.72563383,15.95711045,15.74283641,21.53049502,6.05442823,53874297285.18563,5.3386,67352272313.72,,2022-11-03T08:40:00.000Z,,,,,,2022-11-03 08:42:27.159088
4,3408,USD Coin,USDC,usd-coin,6654,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,42538218359.688095,42538218359.688095,,5,,,,2022-11-03T08:40:00.000Z,1.0000165032449655,5979795365.769304,83.1892,-0.00448894,-0.00408523,0.0110413,0.01132909,-0.01169829,0.00330762,42538920378.32608,4.2151,42538920378.33,,2022-11-03T08:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-11-03 08:42:27.159088
5,52,XRP,XRP,xrp,831,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50085407159.0,99989240406.0,,6,,,,2022-11-03T08:40:00.000Z,0.4564624418230224,1455125177.1311908,25.8907,-0.3587728,-0.38921727,-4.02417405,-0.96193988,38.44873533,22.20789987,22862107251.49743,2.2655,45646244182.3,,2022-11-03T08:40:00.000Z,,,,,,2022-11-03 08:42:27.159088
6,4687,Binance USD,BUSD,binance-usd,5380,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,21658670444.839256,21658670444.839256,,7,,,,2022-11-03T08:40:00.000Z,1.0025916321310298,8722300761.830486,29.3866,0.24508691,0.24243714,0.24106163,0.24060414,0.2539565,0.24252046,21714801751.079487,2.1517,21714801751.08,,2022-11-03T08:40:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-11-03 08:42:27.159088
7,74,Dogecoin,DOGE,dogecoin,588,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,8,,,,2022-11-03T08:40:00.000Z,0.1311569524373919,3774046231.6622934,-41.5579,-0.07278791,-5.25612564,68.01577351,116.32169329,110.35221777,90.22879132,17400693123.11364,1.7233,17400693123.11,,2022-11-03T08:40:00.000Z,,,,,,2022-11-03 08:42:27.159088
8,2010,Cardano,ADA,cardano,585,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34330905533.942,35101471140.919,,9,,,,2022-11-03T08:40:00.000Z,0.39594689319024307,722419537.2205559,51.6942,-0.20408099,0.20694102,-3.02767858,-8.16906554,-19.82230082,-22.26470763,13593215386.572058,1.3469,17817610193.56,,2022-11-03T08:40:00.000Z,,,,,,2022-11-03 08:42:27.159088
9,5426,Solana,SOL,solana,395,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,359465967.28162956,511616946.142289,,10,,,,2022-11-03T08:40:00.000Z,31.611400624038176,1287504964.0102801,82.7269,-0.41782589,-0.39858167,-0.48588088,-5.68330087,1.08830636,-20.91681665,11363222702.446991,1.1254,16172928250.55,,2022-11-03T08:40:00.000Z,,,,,,2022-11-03 08:42:27.159088
